============================= test session starts =============================
platform win32 -- Python 3.11.3, pytest-9.0.2, pluggy-1.6.0 -- C:\Users\saiha\My_Service\programing\MCP\SharedMemoryServer\.venv\Scripts\python.exe
cachedir: .pytest_cache
rootdir: C:\Users\saiha\My_Service\programing\MCP\SharedMemoryServer
configfile: pytest.ini
plugins: anyio-4.12.1, asyncio-1.3.0, cov-7.0.0
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 35 items

tests/test_bank.py::test_initialize_bank PASSED                          [  2%]
tests/test_bank.py::test_save_bank_files PASSED                          [  5%]
tests/test_bank.py::test_read_bank_data PASSED                           [  8%]
tests/test_bank.py::test_repair_memory PASSED                            [ 11%]
tests/test_concurrency.py::test_high_concurrency_writes FAILED           [ 14%]
tests/test_concurrency.py::test_mixed_read_write_concurrency PASSED      [ 17%]
tests/test_database.py::test_init_db_creates_tables PASSED               [ 20%]
tests/test_database.py::test_update_access_and_stability PASSED          [ 22%]
tests/test_database.py::test_migration_from_partial_schema PASSED        [ 25%]
tests/test_database.py::test_migration_relations_partial PASSED          [ 28%]
tests/test_e2e.py::test_full_save_read_flow PASSED                       [ 31%]
tests/test_graph.py::test_save_entities PASSED                           [ 34%]
tests/test_graph.py::test_access_stability PASSED                        [ 37%]
tests/test_graph.py::test_save_relations PASSED                          [ 40%]
tests/test_graph.py::test_save_observations PASSED                       [ 42%]
tests/test_graph.py::test_conflict_detection PASSED                      [ 45%]
tests/test_graph.py::test_get_graph_data PASSED                          [ 48%]
tests/test_graph.py::test_save_entities_invalid_input PASSED             [ 51%]
tests/test_graph.py::test_save_relations_invalid_input PASSED            [ 54%]
tests/test_graph.py::test_save_observations_side_effects PASSED          [ 57%]
tests/test_health_optimization.py::test_comprehensive_diagnostics PASSED [ 60%]
tests/test_health_optimization.py::test_embedding_cache_integrity PASSED [ 62%]
tests/test_health_optimization.py::test_bulk_embedding_optimization PASSED [ 65%]
tests/test_health_optimization.py::test_logic_health_integration PASSED  [ 68%]
tests/test_management.py::test_snapshot_lifecycle PASSED                 [ 71%]
tests/test_management.py::test_audit_and_rollback PASSED                 [ 74%]
tests/test_management.py::test_memory_health PASSED                      [ 77%]
tests/test_resilience.py::test_save_memory_atomicity PASSED              [ 80%]
tests/test_resilience.py::test_llm_json_malformed_resilience PASSED      [ 82%]
tests/test_resilience.py::test_db_lock_retry_simulation PASSED           [ 85%]
tests/test_resilience.py::test_db_lock_failure_raises_custom_exception PASSED [ 88%]
tests/test_search.py::test_perform_search PASSED                         [ 91%]
tests/test_search.py::test_synthesize_knowledge PASSED                   [ 94%]
tests/test_stress.py::test_extreme_stress_100_agents 
